county,per_capita_income,population_density,pop_without_a2i,urban_pop_density,rural_pop_density,gt_50_internet,median_dl_speed,median_ul_speed,upper_quartile_dl,upper_quartile_ul,lower_quartile_dl,lower_quartile_ul,party_won
arkansas_carroll_county,20604.0,44.189,29.0,1355.27,32.041,1,6.2341999999999995,2.3117900000000002,12.9183175,4.0007325,2.3638775,1.11402,0.6356043543543544
arkansas_chicot_county,19311.0,15.285,81.0,1146.04,8.396,1,0.37005,0.258935,0.83074,0.344625,0.32732,0.17226000000000002,0.4135936370209689
arkansas_clark_county,18709.0,25.993,24.0,1844.67,13.742,1,4.15489,3.3355960000000002,8.097566,4.205907999999999,2.779944,2.517446,0.5257621040047818
arkansas_clay_county,18434.0,21.729,80.0,1477.46,12.328,1,4.202016666666666,0.5914799999999999,9.189043333333332,1.0915233333333332,2.51465,0.5397166666666666,0.6321512211441954
arkansas_cleburne_county,24297.0,47.696,39.0,1388.54,36.129,1,8.243828,6.6813780000000005,9.380256000000001,6.800022,8.028452,6.592268,0.7899398395721925
arkansas_cleveland_county,21666.0,13.93,97.0,0.0,13.93,0,1.19478,0.46023000000000003,2.1879850000000003,0.511065,0.441685,0.306135,0.7456805092452258
arkansas_columbia_county,19893.0,29.642,44.0,1347.83,16.596,1,2.807272,0.9762680000000001,3.6042639999999997,1.035614,1.9750799999999997,0.7278640000000001,0.6174040964128098
arkansas_conway_county,21742.0,38.579,0.0,1101.06,27.532,1,5.122803333333334,5.260903333333334,7.1598299999999995,6.436196666666667,3.42577,4.192423333333333,0.6180936582876101
arkansas_craighead_county,23244.0,149.087,13.0,1549.92,49.482,1,3.6677249999999995,1.8058399999999997,6.044898333333333,2.0375966666666665,2.4955933333333333,0.9816066666666666,0.6519675131548844
arkansas_crawford_county,20104.0,112.024,14.0,1663.25,59.106,1,9.2666875,2.3571875,12.4645525,3.1148975000000005,6.358935000000001,1.5670549999999999,0.7517490408485669
arkansas_crittenden_county,19732.0,85.26,20.0,1851.86,16.279,1,5.9559875,4.4758275,9.63965,6.155492500000001,3.3212174999999995,2.661215,0.4401190024053678
arkansas_cross_county,18919.0,26.946,23.0,1589.82,15.035,1,9.567549999999999,3.2390966666666667,10.411803333333333,3.2724266666666666,7.814863333333334,2.7659033333333336,0.67003367003367
arkansas_dallas_county,18261.0,10.014,22.0,786.924,5.127,1,3.7704750000000002,0.46747500000000003,5.084960000000001,0.47206000000000004,0.6288349999999999,0.458495,0.549799343305363
arkansas_desha_county,19300.0,14.472,95.0,1371.25,4.273,1,2.0920449999999997,0.43578999999999996,2.98486,0.441405,1.5556649999999999,0.382325,0.45314718409843824
arkansas_drew_county,17433.0,21.578,100.0,995.508,9.997,1,1.6771660000000002,0.9509079999999999,3.8358000000000003,1.222664,0.9165620000000001,0.42745,0.6054639804639804
arkansas_faulkner_county,24703.0,198.193,3.0,1779.33,80.703,1,7.946526,5.580848,15.950782,10.239074000000002,5.549082,3.6656239999999998,0.6291519282201709
arkansas_franklin_county,20021.0,29.002,92.0,1244.69,23.853,1,5.593393333333334,0.7273766666666667,8.972983333333332,2.068686666666667,3.089196666666666,0.64358,0.7515676321289937
arkansas_fulton_county,19216.0,18.599,96.0,964.24,17.419,1,1.1092933333333335,0.49056000000000005,4.148763333333332,0.6725266666666667,0.32763333333333333,0.3681666666666666,0.7314502529510961
arkansas_garland_county,23514.0,147.534,3.0,1159.19,60.37,1,2.8497233333333334,1.3971583333333335,4.566951666666667,1.880796666666667,1.422815,0.8242033333333333,0.6458834320846866
